"","countries","year","fert_index"
"392","Lao PDR",1961,5.964
"393","Lebanon",1961,5.724
"394","Liberia",1961,6.429
"395","Libya",1961,7.243
"396","St. Lucia",1961,6.931
"397","Latin America & Caribbean",1961,5.96009278152152
"398","Least developed countries: UN classification",1961,6.6734047974747
"399","Low income",1961,6.49324327968468
"401","Sri Lanka",1961,5.421
"402","Lower middle income",1961,5.93166439180086
"403","Low & middle income",1961,5.69468644234634
"404","Lesotho",1961,5.829
"405","Late-demographic dividend",1961,5.23328295116862
"406","Lithuania",1961,2.53
"408","Latvia",1961,1.94
"409","Macao SAR, China",1961,4.763
"411","Morocco",1961,7.106
"413","Moldova",1961,3.259
"414","Madagascar",1961,7.3
"415","Maldives",1961,7.075
"416","Middle East & North Africa",1961,6.87596935890954
"417","Mexico",1961,6.762
"419","Middle income",1961,5.63378691622403
"420","Macedonia, FYR",1961,3.758
"421","Mali",1961,6.979
"422","Malta",1961,3.27
"423","Myanmar",1961,6.073
"424","Middle East & North Africa (excluding high income)",1961,6.93765163787239
"425","Montenegro",1961,3.522
"426","Mongolia",1961,7.168
"428","Mozambique",1961,6.6
"429","Mauritania",1961,6.787
"430","Mauritius",1961,6.178
"431","Malawi",1961,6.964
"432","Malaysia",1961,6.136
"433","North America",1961,3.63219570481859
"434","Namibia",1961,6.167
"435","New Caledonia",1961,6.144
"436","Niger",1961,7.416
"437","Nigeria",1961,6.351
"438","Nicaragua",1961,7.257
"439","Netherlands",1961,3.22
"440","Norway",1961,2.94
"441","Nepal",1961,5.96
"443","New Zealand",1961,4.099
"444","OECD members",1961,3.24284971718937
"445","Oman",1961,7.248
"446","Other small states",1961,5.05360116764416
"447","Pakistan",1961,6.6
"448","Panama",1961,5.846
"449","Peru",1961,6.97
"450","Philippines",1961,7.087
"452","Papua New Guinea",1961,6.278
"453","Poland",1961,2.83
"454","Pre-demographic dividend",1961,6.64839922343204
"455","Puerto Rico",1961,4.547
"456","Korea, Dem. People’s Rep.",1961,4.357
"457","Portugal",1961,3.21
"458","Paraguay",1961,6.489
"459","Pacific island small states",1961,6.67253193607404
"460","Post-demographic dividend",1961,2.91274509374857
"461","French Polynesia",1961,5.577
"462","Qatar",1961,6.973
"463","Romania",1961,2.17
"464","Russian Federation",1961,2.45
"465","Rwanda",1961,8.194
"466","South Asia",1961,6.04525928460754
"467","Saudi Arabia",1961,7.23
"468","Sudan",1961,6.713
"469","Senegal",1961,6.994
"470","Singapore",1961,5.256
"471","Solomon Islands",1961,6.385
"472","Sierra Leone",1961,5.969
"473","El Salvador",1961,6.679
"475","Somalia",1961,7.252
"476","Serbia",1961,2.5
"477","Sub-Saharan Africa (excluding high income)",1961,6.63164086593056
"478","South Sudan",1961,6.733
"479","Sub-Saharan Africa",1961,6.63164086593056
"480","Small states",1961,5.27754446121433
"481","Sao Tome and Principe",1961,6.263
"482","Suriname",1961,6.594
"483","Slovak Republic",1961,2.96
"484","Slovenia",1961,2.333
"485","Sweden",1961,2.21
"486","Swaziland",1961,6.73
"489","Syrian Arab Republic",1961,7.497
"491","Chad",1961,6.268
"492","East Asia & Pacific (IDA & IBRD countries)",1961,5.95583290512848
"493","Europe & Central Asia (IDA & IBRD countries)",1961,3.04874408279665
"494","Togo",1961,6.57
"495","Thailand",1961,6.151
"496","Tajikistan",1961,6.266
"497","Turkmenistan",1961,6.537
"498","Latin America & the Caribbean (IDA & IBRD countries)",1961,6.03749364502229
"499","Middle East & North Africa (IDA & IBRD countries)",1961,6.93765163787239
"500","Timor-Leste",1961,6.376
"501","Tonga",1961,7.346
"502","South Asia (IDA & IBRD)",1961,6.04525928460753
"503","Sub-Saharan Africa (IDA & IBRD countries)",1961,6.63164086593056
"504","Trinidad and Tobago",1961,5.177
"505","Tunisia",1961,7.088
"506","Turkey",1961,6.241
"508","Tanzania",1961,6.806
"509","Uganda",1961,7.019
"510","Ukraine",1961,2.17
"511","Upper middle income",1961,5.38614561762325
"512","Uruguay",1961,2.886
"513","United States",1961,3.62
"514","Uzbekistan",1961,6.755
"515","St. Vincent and the Grenadines",1961,7.155
"516","Venezuela, RB",1961,6.637
"518","Virgin Islands (U.S.)",1961,5.651
"519","Vietnam",1961,6.392
"520","Vanuatu",1961,7.12
"522","World",1961,5.00818568143219
"523","Samoa",1961,7.645
"524","Yemen, Rep.",1961,7.405
"525","South Africa",1961,6.144
"526","Congo, Dem. Rep.",1961,6.015
"527","Zambia",1961,7.071
"528","Zimbabwe",1961,7.215
"529","Aruba",1962,4.471
"531","Afghanistan",1962,7.45
"532","Angola",1962,7.396
"533","Albania",1962,6.282
"534","Arab World",1962,6.96445371646971
"535","United Arab Emirates",1962,6.893
"536","Argentina",1962,3.089
"537","Armenia",1962,4.435
"539","Antigua and Barbuda",1962,4.344
"540","Australia",1962,3.442
"541","Austria",1962,2.8
"542","Azerbaijan",1962,5.591
"543","Burundi",1962,7.045
"544","Belgium",1962,2.59
"545","Benin",1962,6.394
"546","Burkina Faso",1962,6.344
"547","Bangladesh",1962,6.794
"548","Bulgaria",1962,2.24
"549","Bahrain",1962,7.168
"550","Bahamas, The",1962,4.45
"551","Bosnia and Herzegovina",1962,3.665
"552","Belarus",1962,2.5
"553","Belize",1962,6.46
"555","Bolivia",1962,6.633
"556","Brazil",1962,6.143
"557","Barbados",1962,4.269
"558","Brunei Darussalam",1962,6.448
"559","Bhutan",1962,6.67
"560","Botswana",1962,6.649
"561","Central African Republic",1962,5.891
"562","Canada",1962,3.681
"563","Central Europe and the Baltics",1962,2.31137778329015
"564","Switzerland",1962,2.58
"565","Channel Islands",1962,2.525
"566","Chile",1962,5.009
"567","China",1962,6.061
"568","Cote d'Ivoire",1962,7.501
"569","Cameroon",1962,5.766
"570","Congo, Rep.",1962,5.965
"571","Colombia",1962,6.779
"572","Comoros",1962,6.897
"573","Cabo Verde",1962,6.953
"574","Costa Rica",1962,6.322
"575","Caribbean small states",1962,5.52302044416138
"576","Cuba",1962,4.509
"579","Cyprus",1962,3.421
"580","Czech Republic",1962,2.12
"581","Germany",1962,2.44
"582","Djibouti",1962,6.527
"584","Denmark",1962,2.55
"585","Dominican Republic",1962,7.404
"586","Algeria",1962,7.614
"587","East Asia & Pacific (excluding high income)",1962,6.03860028912701
"588","Early-demographic dividend",1962,6.13830620012614
"589","East Asia & Pacific",1962,5.54754303075552
"590","Europe & Central Asia (excluding high income)",1962,3.03354109975293
"591","Europe & Central Asia",1962,2.8014060169278
"592","Ecuador",1962,6.676
"593","Egypt, Arab Rep.",1962,6.57
"594","Euro area",1962,2.63860990562986
"595","Eritrea",1962,6.837
"596","Spain",1962,2.8
"597","Estonia",1962,1.95
"598","Ethiopia",1962,6.875
"599","European Union",1962,2.59090419097343
"600","Fragile and conflict affected situations",1962,6.6322751679993
"601","Finland",1962,2.68
"602","Fiji",1962,6.085
"603","France",1962,2.89
"605","Micronesia, Fed. Sts.",1962,6.905
"606","Gabon",1962,4.541
"607","United Kingdom",1962,2.86
"608","Georgia",1962,2.95
"609","Ghana",1962,6.827
"611","Guinea",1962,6.138
"612","Gambia, The",1962,5.672
"613","Guinea-Bissau",1962,5.941
"614","Equatorial Guinea",1962,5.529
"615","Greece",1962,2.16
"616","Grenada",1962,6.442
"618","Guatemala",1962,6.49
"619","Guam",1962,5.984
"620","Guyana",1962,5.619
"621","High income",1962,2.96349510726263
"622","Hong Kong SAR, China",1962,5.18
"623","Honduras",1962,7.443
"624","Heavily indebted poor countries (HIPC)",1962,6.743673729006
"625","Croatia",1962,2.273
"626","Haiti",1962,6.302
"627","Hungary",1962,1.79
"628","IBRD only",1962,5.49898749061798
"629","IDA & IBRD total",1962,5.70268592322888
"630","IDA total",1962,6.58034756623776
"631","IDA blend",1962,6.34627388580514
"632","Indonesia",1962,5.645
"633","IDA only",1962,6.7227906385971
"635","India",1962,5.895
"637","Ireland",1962,3.92
"638","Iran, Islamic Rep.",1962,6.914
"639","Iraq",1962,6.514
"640","Iceland",1962,3.98
"641","Israel",1962,3.85
"642","Italy",1962,2.44
"643","Jamaica",1962,5.627
"644","Jordan",1962,7.904
"645","Japan",1962,2.01
"646","Kazakhstan",1962,4.437
"647","Kenya",1962,8.042
"648","Kyrgyz Republic",1962,5.314
"649","Cambodia",1962,6.955
"650","Kiribati",1962,6.784
"652","Korea, Rep.",1962,5.789
"654","Kuwait",1962,7.302
"655","Latin America & Caribbean (excluding high income)",1962,6.04353495725623
"656","Lao PDR",1962,5.966
"657","Lebanon",1962,5.694
"658","Liberia",1962,6.453
"659","Libya",1962,7.31
"660","St. Lucia",1962,6.88
"661","Latin America & Caribbean",1962,5.94239639138905
"662","Least developed countries: UN classification",1962,6.69056719625171
"663","Low income",1962,6.48639086074754
"665","Sri Lanka",1962,5.299
"666","Lower middle income",1962,5.93217502222121
"667","Low & middle income",1962,5.74203548162073
"668","Lesotho",1962,5.82
"669","Late-demographic dividend",1962,5.32104272409014
"670","Lithuania",1962,2.45
"671","Luxembourg",1962,2.37
"672","Latvia",1962,1.91
"673","Macao SAR, China",1962,4.525
"675","Morocco",1962,7.131
"677","Moldova",1962,3.178
"678","Madagascar",1962,7.3
"679","Maldives",1962,7.118
"680","Middle East & North Africa",1962,6.88635715158382
"681","Mexico",1962,6.758
"683","Middle income",1962,5.68460852637032
"684","Macedonia, FYR",1962,3.691
"685","Mali",1962,6.994
"686","Malta",1962,3.24
"687","Myanmar",1962,6.096
"688","Middle East & North Africa (excluding high income)",1962,6.9497207554293
"689","Montenegro",1962,3.436
"690","Mongolia",1962,7.347
"692","Mozambique",1962,6.601
"693","Mauritania",1962,6.794
"694","Mauritius",1962,6.124
"695","Malawi",1962,6.991
"696","Malaysia",1962,6.052
"697","North America",1962,3.48124677804555
"698","Namibia",1962,6.184
"699","New Caledonia",1962,6.01
"700","Niger",1962,7.416
"701","Nigeria",1962,6.346
"702","Nicaragua",1962,7.179
"703","Netherlands",1962,3.18
"704","Norway",1962,2.91
"705","Nepal",1962,5.962
"707","New Zealand",1962,4.107
"708","OECD members",1962,3.19766870399799
"709","Oman",1962,7.251
"710","Other small states",1962,5.05759486790703
"711","Pakistan",1962,6.6
"712","Panama",1962,5.812
"713","Peru",1962,6.963
"714","Philippines",1962,7.02
"716","Papua New Guinea",1962,6.278
"717","Poland",1962,2.72
"718","Pre-demographic dividend",1962,6.66813171325403
"719","Puerto Rico",1962,4.411
"720","Korea, Dem. People’s Rep.",1962,4.173
"721","Portugal",1962,3.23
"722","Paraguay",1962,6.472
"723","Pacific island small states",1962,6.56285435408093
"724","Post-demographic dividend",1962,2.8685020498949
"725","French Polynesia",1962,5.5
"726","Qatar",1962,6.977
"727","Romania",1962,2.04
"728","Russian Federation",1962,2.36
"729","Rwanda",1962,8.197
"730","South Asia",1962,6.04088778851857
"731","Saudi Arabia",1962,7.243
"732","Sudan",1962,6.737
"733","Senegal",1962,7.036
"734","Singapore",1962,5.2
"735","Solomon Islands",1962,6.383
"736","Sierra Leone",1962,5.967
"737","El Salvador",1962,6.67
"739","Somalia",1962,7.255
"741","Sub-Saharan Africa (excluding high income)",1962,6.64172882932405
"742","South Sudan",1962,6.747
"743","Sub-Saharan Africa",1962,6.64172882932405
"744","Small states",1962,5.27240774733849
"745","Sao Tome and Principe",1962,6.284
"746","Suriname",1962,6.558
"747","Slovak Republic",1962,2.83
"748","Slovenia",1962,2.327
"749","Sweden",1962,2.25
"750","Swaziland",1962,6.745
"753","Syrian Arab Republic",1962,7.522
"755","Chad",1962,6.285
"756","East Asia & Pacific (IDA & IBRD countries)",1962,6.06991600517895
"757","Europe & Central Asia (IDA & IBRD countries)",1962,2.99494440601229
"758","Togo",1962,6.622
"759","Thailand",1962,6.155
"760","Tajikistan",1962,6.308
"761","Turkmenistan",1962,6.626
"762","Latin America & the Caribbean (IDA & IBRD countries)",1962,6.01462187028256
"763","Middle East & North Africa (IDA & IBRD countries)",1962,6.9497207554293
"764","Timor-Leste",1962,6.375
"765","Tonga",1962,7.302
"766","South Asia (IDA & IBRD)",1962,6.04088778851857
"767","Sub-Saharan Africa (IDA & IBRD countries)",1962,6.64172882932405
"768","Trinidad and Tobago",1962,5.047
"769","Tunisia",1962,7.118
"770","Turkey",1962,6.175
"772","Tanzania",1962,6.804
"773","Uganda",1962,7.04
"774","Ukraine",1962,2.14
"775","Upper middle income",1962,5.47597359517285
"776","Uruguay",1962,2.884
"777","United States",1962,3.461
"778","Uzbekistan",1962,6.783
"779","St. Vincent and the Grenadines",1962,7.074
"780","Venezuela, RB",1962,6.628
"782","Virgin Islands (U.S.)",1962,5.679
"783","Vietnam",1962,6.425
"784","Vanuatu",1962,7.033
"786","World",1962,5.03038638935706
"787","Samoa",1962,7.63
"788","Yemen, Rep.",1962,7.437
"789","South Africa",1962,6.103
"790","Congo, Dem. Rep.",1962,6.03
"791","Zambia",1962,7.127
"792","Zimbabwe",1962,7.267
"793","Aruba",1963,4.271
"795","Afghanistan",1963,7.45
"796","Angola",1963,7.402
"797","Albania",1963,6.133
"798","Arab World",1963,6.97589192771462
"799","United Arab Emirates",1963,6.877
"800","Argentina",1963,3.078
"801","Armenia",1963,4.317
"803","Antigua and Barbuda",1963,4.299
"804","Australia",1963,3.332
"805","Austria",1963,2.82
"806","Azerbaijan",1963,5.549
"807","Burundi",1963,7.092
"808","Belgium",1963,2.68
"809","Benin",1963,6.447
"810","Burkina Faso",1963,6.377
"811","Bangladesh",1963,6.825
"812","Bulgaria",1963,2.21
"813","Bahrain",1963,7.19
"814","Bahamas, The",1963,4.356
"815","Bosnia and Herzegovina",1963,3.599
"816","Belarus",1963,2.4
"817","Belize",1963,6.44
"819","Bolivia",1963,6.597
"820","Brazil",1963,6.063
"821","Barbados",1963,4.196
"822","Brunei Darussalam",1963,6.36
"823","Bhutan",1963,6.67
"824","Botswana",1963,6.666
"825","Central African Republic",1963,5.91
"826","Canada",1963,3.607
"827","Central Europe and the Baltics",1963,2.31632696317018
"828","Switzerland",1963,2.65
"829","Channel Islands",1963,2.55
"830","Chile",1963,4.94
"831","China",1963,6.206
"832","Cote d'Ivoire",1963,7.572
"833","Cameroon",1963,5.828
"834","Congo, Rep.",1963,6.008
"835","Colombia",1963,6.736
"836","Comoros",1963,6.939
"837","Cabo Verde",1963,6.976
"838","Costa Rica",1963,6.201
"839","Caribbean small states",1963,5.4913219577916
"840","Cuba",1963,4.606
"843","Cyprus",1963,3.346
"844","Czech Republic",1963,2.31
"845","Germany",1963,2.51
"846","Djibouti",1963,6.561
"848","Denmark",1963,2.67
"849","Dominican Republic",1963,7.303
"850","Algeria",1963,7.646
"851","East Asia & Pacific (excluding high income)",1963,6.13801624671429
"852","Early-demographic dividend",1963,6.12766366858383
"853","East Asia & Pacific",1963,5.62375789023187
"854","Europe & Central Asia (excluding high income)",1963,2.96598775737768
"855","Europe & Central Asia",1963,2.79464683995481
"856","Ecuador",1963,6.646
"857","Egypt, Arab Rep.",1963,6.526
"858","Euro area",1963,2.67977333575046
"859","Eritrea",1963,6.806
"860","Spain",1963,2.88
"861","Estonia",1963,1.89
"862","Ethiopia",1963,6.872
"863","European Union",1963,2.62414449545517
"864","Fragile and conflict affected situations",1963,6.66108310420109
"865","Finland",1963,2.68
"866","Fiji",1963,5.881
"867","France",1963,2.89
"869","Micronesia, Fed. Sts.",1963,6.897
"870","Gabon",1963,4.619
"871","United Kingdom",1963,2.88
